balance_id,item_id,warehouse_id,quantity_on_hand,quantity_reserved,reorder_point,stock_status,last_stock_take_date,last_updated
STK-WH-JKT-01-BLT-INV-008,BLT-INV-008,WH-JKT-01,403,0,200,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-009,BLT-INV-009,WH-JKT-01,120,2,40,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-010,BLT-INV-010,WH-JKT-01,680,4,300,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-025,BLT-INV-025,WH-JKT-01,706,5,500,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-026,BLT-INV-026,WH-JKT-01,58,0,40,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-027,BLT-INV-027,WH-JKT-01,276,2,150,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-028,BLT-INV-028,WH-JKT-01,23,1,12,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-029,BLT-INV-029,WH-JKT-01,413,3,300,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-011,BLT-INV-011,WH-JKT-01,20,3,8,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-012,BLT-INV-012,WH-JKT-01,85,2,35,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-030,BLT-INV-030,WH-JKT-01,30,2,15,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-031,BLT-INV-031,WH-JKT-01,25,1,10,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-032,BLT-INV-032,WH-JKT-01,32,2,12,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-013,BLT-INV-013,WH-JKT-01,149,5,50,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-014,BLT-INV-014,WH-JKT-01,1173,0,500,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-033,BLT-INV-033,WH-JKT-01,147,5,60,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-034,BLT-INV-034,WH-JKT-01,71,4,40,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-JKT-01-BLT-INV-035,BLT-INV-035,WH-JKT-01,86,1,30,NORMAL,2026-03-08,2026-03-08 14:30:00
STK-WH-BDG-01-BLT-INV-002,BLT-INV-002,WH-BDG-01,3000,0,1500,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-BDG-01-BLT-INV-003,BLT-INV-003,WH-BDG-01,110,2,25,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-BDG-01-BLT-INV-004,BLT-INV-004,WH-BDG-01,26,1,10,NORMAL,2026-03-08,2026-09-15 11:22:55
STK-WH-BDG-01-BLT-INV-006,BLT-INV-006,WH-BDG-01,42,0,12,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-BDG-01-BLT-INV-001,BLT-INV-001,WH-BDG-01,3500,120,2000,NORMAL,2026-03-08,2026-03-08 16:45:00
STK-WH-BDG-01-BLT-INV-018,BLT-INV-018,WH-BDG-01,160,10,80,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-BDG-01-BLT-INV-025,BLT-INV-025,WH-BDG-01,1000,50,500,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-DPS-01-BLT-INV-005,BLT-INV-005,WH-DPS-01,47,1,15,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-DPS-01-BLT-INV-021,BLT-INV-021,WH-DPS-01,40,2,20,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-DPS-01-BLT-INV-001,BLT-INV-001,WH-DPS-01,4200,200,2000,NORMAL,2026-03-08,2026-03-08 16:45:00
STK-WH-DPS-01-BLT-INV-010,BLT-INV-010,WH-DPS-01,600,40,300,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-DPS-01-BLT-INV-026,BLT-INV-026,WH-DPS-01,80,5,40,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-DPS-01-BLT-INV-013,BLT-INV-013,WH-DPS-01,45,12,50,LOW_STOCK,2026-03-08,2026-03-08 16:45:00
STK-WH-MDN-01-BLT-INV-023,BLT-INV-023,WH-MDN-01,12,0,6,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-MDN-01-BLT-INV-012,BLT-INV-012,WH-MDN-01,70,2,35,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-MDN-01-BLT-INV-008,BLT-INV-008,WH-MDN-01,180,20,200,LOW_STOCK,2026-03-08,2026-03-08 16:45:00
STK-WH-MDN-01-BLT-INV-014,BLT-INV-014,WH-MDN-01,1000,50,500,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-SMG-01-BLT-INV-016,BLT-INV-016,WH-SMG-01,6000,300,3000,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-SMG-01-BLT-INV-003,BLT-INV-003,WH-SMG-01,18,2,25,LOW_STOCK,2026-03-08,2026-03-08 16:45:00
STK-WH-SMG-01-BLT-INV-033,BLT-INV-033,WH-SMG-01,120,8,60,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-SBY-01-BLT-INV-008,BLT-INV-008,WH-SBY-01,620,10,200,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-SBY-01-BLT-INV-009,BLT-INV-009,WH-SBY-01,80,5,40,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-SBY-01-BLT-INV-004,BLT-INV-004,WH-SBY-01,28,1,10,NORMAL,2026-03-08,2026-09-15 15:05:27
STK-WH-SBY-01-BLT-INV-015,BLT-INV-015,WH-SBY-01,2400,100,1200,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-MKS-01-BLT-INV-013,BLT-INV-013,WH-MKS-01,155,2,50,NORMAL,2026-03-08,2026-09-15 17:26:46
STK-WH-MKS-01-BLT-INV-006,BLT-INV-006,WH-MKS-01,6,1,12,CRITICAL,2026-03-08,2026-03-08 16:45:00
STK-WH-MKS-01-BLT-INV-007,BLT-INV-007,WH-MKS-01,60,4,30,NORMAL,2026-03-08,2026-09-15 17:26:46
