attendance_id,employee_id,date,clock_in,clock_out,site_id,attendance_type,overtime_hours,status
ATT-1043,EMP-BLT-006,2026-09-02,08:32:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1044,EMP-BLT-007,2026-09-02,08:46:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1045,EMP-BLT-008,2026-09-02,08:28:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1046,EMP-BLT-009,2026-09-02,08:49:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1047,EMP-BLT-010,2026-09-02,08:23:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1048,EMP-BLT-011,2026-09-02,07:52:00,17:00:00,JKS-MCP-012,SITE_VISIT,0.0,ON_TIME
ATT-1049,EMP-BLT-012,2026-09-02,07:48:00,17:00:00,JKB-MCP-004,SITE_VISIT,0.0,ON_TIME
ATT-1050,EMP-BLT-001,2026-09-03,07:51:00,19:30:00,JKS-MCP-002,SITE_VISIT,2.5,OVERTIME_VERIFIED
ATT-1051,EMP-BLT-002,2026-09-03,08:18:00,17:00:00,BDG-TWR-008,SITE_VISIT,0.0,LATE
ATT-1052,EMP-BLT-003,2026-09-03,07:46:00,18:30:00,JKS-MCP-001,SITE_VISIT,1.5,OVERTIME_VERIFIED
ATT-1053,EMP-BLT-004,2026-09-03,07:51:00,20:00:00,JKB-MCP-004,SITE_VISIT,3.0,OVERTIME_VERIFIED
ATT-1054,EMP-BLT-005,2026-09-03,07:46:00,17:00:00,JKP-TWR-003,SITE_VISIT,0.0,ON_TIME
ATT-1055,EMP-BLT-006,2026-09-03,08:43:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1056,EMP-BLT-007,2026-09-03,08:50:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1057,EMP-BLT-008,2026-09-03,08:21:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1058,EMP-BLT-009,2026-09-03,08:18:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1059,EMP-BLT-010,2026-09-03,08:49:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1060,EMP-BLT-011,2026-09-03,07:58:00,17:00:00,TGR-TWR-014,SITE_VISIT,0.0,ON_TIME
ATT-1061,EMP-BLT-012,2026-09-03,07:58:00,19:30:00,JKB-MCP-004,SITE_VISIT,2.5,OVERTIME_VERIFIED
ATT-1062,EMP-BLT-001,2026-09-04,07:45:00,17:00:00,DPS-TWR-007,SITE_VISIT,0.0,ON_TIME
ATT-1063,EMP-BLT-002,2026-09-04,07:56:00,19:30:00,DPS-TWR-007,SITE_VISIT,2.5,OVERTIME_VERIFIED
ATT-1064,EMP-BLT-003,2026-09-04,07:56:00,17:00:00,JKS-MCP-012,SITE_VISIT,0.0,ON_TIME
ATT-1065,EMP-BLT-004,2026-09-04,07:45:00,18:30:00,BDG-TWR-008,SITE_VISIT,1.5,OVERTIME_VERIFIED
ATT-1066,EMP-BLT-005,2026-09-04,08:25:00,17:00:00,SBY-TWR-010,SITE_VISIT,0.0,LATE
ATT-1067,EMP-BLT-006,2026-09-04,08:18:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1068,EMP-BLT-007,2026-09-04,08:18:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1069,EMP-BLT-008,2026-09-04,08:52:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1070,EMP-BLT-009,2026-09-04,08:45:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1071,EMP-BLT-010,2026-09-04,08:47:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1072,EMP-BLT-011,2026-09-04,07:53:00,17:00:00,DPS-MCP-015,SITE_VISIT,0.0,ON_TIME
ATT-1073,EMP-BLT-012,2026-09-04,08:17:00,17:00:00,JKS-MCP-002,SITE_VISIT,0.0,LATE
ATT-1074,EMP-BLT-005,2026-09-05,09:12:00,15:45:00,JKS-MCP-001,EMERGENCY_REPAIR,6.0,OVERTIME_VERIFIED
ATT-1075,EMP-BLT-001,2026-09-06,09:12:00,15:45:00,JKT-TWR-005,EMERGENCY_REPAIR,3.0,OVERTIME_VERIFIED
ATT-1076,EMP-BLT-001,2026-09-07,07:50:00,17:00:00,DPS-TWR-007,SITE_VISIT,0.0,ON_TIME
ATT-1077,EMP-BLT-002,2026-09-07,07:51:00,18:30:00,DPS-MCP-015,SITE_VISIT,1.5,OVERTIME_VERIFIED
ATT-1078,EMP-BLT-003,2026-09-07,07:50:00,17:00:00,JKP-TWR-003,SITE_VISIT,0.0,ON_TIME
ATT-1079,EMP-BLT-004,2026-09-07,08:29:00,17:00:00,DPS-MCP-015,SITE_VISIT,0.0,LATE
ATT-1080,EMP-BLT-005,2026-09-07,07:46:00,17:00:00,SBY-TWR-010,SITE_VISIT,0.0,ON_TIME
ATT-1081,EMP-BLT-006,2026-09-07,08:49:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1082,EMP-BLT-007,2026-09-07,08:28:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1083,EMP-BLT-008,2026-09-07,08:47:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1084,EMP-BLT-009,2026-09-07,08:31:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1085,EMP-BLT-010,2026-09-07,08:23:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1086,EMP-BLT-011,2026-09-07,07:50:00,17:00:00,DPS-MCP-015,SITE_VISIT,0.0,ON_TIME
ATT-1087,EMP-BLT-012,2026-09-07,07:54:00,20:00:00,JKT-TWR-005,SITE_VISIT,3.0,OVERTIME_VERIFIED
ATT-1088,EMP-BLT-001,2026-09-08,08:24:00,17:00:00,JKP-TWR-013,SITE_VISIT,0.0,LATE
ATT-1089,EMP-BLT-002,2026-09-08,07:47:00,17:00:00,DPS-MCP-015,SITE_VISIT,0.0,ON_TIME
ATT-1090,EMP-BLT-003,2026-09-08,07:47:00,17:00:00,JKT-TWR-005,SITE_VISIT,0.0,ON_TIME
ATT-1091,EMP-BLT-004,2026-09-08,07:48:00,17:00:00,JKT-TWR-005,SITE_VISIT,0.0,ON_TIME
ATT-1092,EMP-BLT-005,2026-09-08,07:52:00,17:00:00,SBY-MCP-011,SITE_VISIT,0.0,ON_TIME
ATT-1093,EMP-BLT-006,2026-09-08,08:31:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1094,EMP-BLT-007,2026-09-08,08:18:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1095,EMP-BLT-008,2026-09-08,08:20:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1096,EMP-BLT-009,2026-09-08,08:55:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1097,EMP-BLT-010,2026-09-08,08:42:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1098,EMP-BLT-011,2026-09-08,07:47:00,17:00:00,TGR-TWR-014,SITE_VISIT,0.0,ON_TIME
ATT-1099,EMP-BLT-012,2026-09-08,07:52:00,17:00:00,SBY-MCP-011,SITE_VISIT,0.0,ON_TIME
ATT-1100,EMP-BLT-001,2026-09-09,07:46:00,17:00:00,BDG-MCP-009,SITE_VISIT,0.0,ON_TIME
ATT-1101,EMP-BLT-002,2026-09-09,07:47:00,17:00:00,JKS-MCP-002,SITE_VISIT,0.0,ON_TIME
ATT-1102,EMP-BLT-003,2026-09-09,07:47:00,18:30:00,BDG-MCP-009,SITE_VISIT,1.5,OVERTIME_VERIFIED
ATT-1103,EMP-BLT-004,2026-09-09,07:59:00,18:30:00,DPS-TWR-007,SITE_VISIT,1.5,OVERTIME_VERIFIED
ATT-1104,EMP-BLT-005,2026-09-09,08:26:00,17:00:00,JKP-TWR-013,SITE_VISIT,0.0,LATE
ATT-1105,EMP-BLT-006,2026-09-09,08:28:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1106,EMP-BLT-007,2026-09-09,08:30:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1107,EMP-BLT-008,2026-09-09,08:21:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1108,EMP-BLT-009,2026-09-09,08:37:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1109,EMP-BLT-010,2026-09-09,08:50:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1110,EMP-BLT-011,2026-09-09,07:56:00,17:00:00,DPS-MCP-015,SITE_VISIT,0.0,ON_TIME
ATT-1111,EMP-BLT-012,2026-09-09,07:47:00,17:00:00,JKP-TWR-003,SITE_VISIT,0.0,ON_TIME
ATT-1112,EMP-BLT-001,2026-09-10,07:45:00,17:00:00,JKP-TWR-013,SITE_VISIT,0.0,ON_TIME
ATT-1113,EMP-BLT-002,2026-09-10,07:59:00,17:00:00,JKP-TWR-003,SITE_VISIT,0.0,ON_TIME
ATT-1114,EMP-BLT-003,2026-09-10,07:57:00,17:00:00,DPS-TWR-007,SITE_VISIT,0.0,ON_TIME
ATT-1115,EMP-BLT-004,2026-09-10,07:45:00,17:00:00,JKB-MCP-004,SITE_VISIT,0.0,ON_TIME
ATT-1116,EMP-BLT-005,2026-09-10,07:59:00,17:00:00,TGR-TWR-014,SITE_VISIT,0.0,ON_TIME
ATT-1117,EMP-BLT-006,2026-09-10,08:44:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1118,EMP-BLT-007,2026-09-10,08:37:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1119,EMP-BLT-008,2026-09-10,08:34:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1120,EMP-BLT-009,2026-09-10,08:29:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1121,EMP-BLT-010,2026-09-10,08:29:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1122,EMP-BLT-011,2026-09-10,07:49:00,17:00:00,JKS-MCP-001,SITE_VISIT,0.0,ON_TIME
ATT-1123,EMP-BLT-012,2026-09-10,07:53:00,18:30:00,TGR-TWR-014,SITE_VISIT,1.5,OVERTIME_VERIFIED
ATT-1124,EMP-BLT-001,2026-09-11,07:50:00,17:00:00,DPS-TWR-007,SITE_VISIT,0.0,ON_TIME
ATT-1125,EMP-BLT-002,2026-09-11,07:49:00,18:30:00,JKS-MCP-001,SITE_VISIT,1.5,OVERTIME_VERIFIED
ATT-1126,EMP-BLT-003,2026-09-11,07:57:00,19:30:00,JKS-MCP-001,SITE_VISIT,2.5,OVERTIME_VERIFIED
ATT-1127,EMP-BLT-004,2026-09-11,07:59:00,20:00:00,DPS-MCP-006,SITE_VISIT,3.0,OVERTIME_VERIFIED
ATT-1128,EMP-BLT-005,2026-09-11,07:45:00,17:00:00,SBY-TWR-010,SITE_VISIT,0.0,ON_TIME
ATT-1129,EMP-BLT-006,2026-09-11,08:48:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1130,EMP-BLT-007,2026-09-11,08:49:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1131,EMP-BLT-008,2026-09-11,08:27:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1132,EMP-BLT-009,2026-09-11,08:38:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1133,EMP-BLT-010,2026-09-11,08:42:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1134,EMP-BLT-011,2026-09-11,07:54:00,17:00:00,JKS-MCP-002,SITE_VISIT,0.0,ON_TIME
ATT-1135,EMP-BLT-012,2026-09-11,07:59:00,17:00:00,DPS-MCP-006,SITE_VISIT,0.0,ON_TIME
ATT-1136,EMP-BLT-001,2026-09-12,09:12:00,15:45:00,JKP-TWR-003,EMERGENCY_REPAIR,6.0,OVERTIME_VERIFIED
ATT-1137,EMP-BLT-005,2026-09-13,09:12:00,15:45:00,JKS-MCP-002,EMERGENCY_REPAIR,3.0,OVERTIME_VERIFIED
ATT-1138,EMP-BLT-001,2026-09-14,07:56:00,17:00:00,DPS-TWR-007,SITE_VISIT,0.0,ON_TIME
ATT-1139,EMP-BLT-002,2026-09-14,07:53:00,20:00:00,DPS-MCP-015,SITE_VISIT,3.0,OVERTIME_VERIFIED
ATT-1140,EMP-BLT-003,2026-09-14,07:57:00,18:30:00,TGR-TWR-014,SITE_VISIT,1.5,OVERTIME_VERIFIED
ATT-1141,EMP-BLT-004,2026-09-14,07:52:00,17:00:00,SBY-TWR-010,SITE_VISIT,0.0,ON_TIME
ATT-1142,EMP-BLT-005,2026-09-14,07:57:00,17:00:00,BDG-TWR-008,SITE_VISIT,0.0,ON_TIME
ATT-1143,EMP-BLT-006,2026-09-14,08:25:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1144,EMP-BLT-007,2026-09-14,08:20:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1145,EMP-BLT-008,2026-09-14,08:33:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1146,EMP-BLT-009,2026-09-14,08:47:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1147,EMP-BLT-010,2026-09-14,08:55:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1148,EMP-BLT-011,2026-09-14,07:48:00,17:00:00,SBY-TWR-010,SITE_VISIT,0.0,ON_TIME
ATT-1149,EMP-BLT-012,2026-09-14,08:30:00,17:00:00,JKP-TWR-013,SITE_VISIT,0.0,LATE
ATT-1150,EMP-BLT-001,2026-09-15,08:28:00,17:00:00,SBY-TWR-010,SITE_VISIT,0.0,LATE
ATT-1151,EMP-BLT-002,2026-09-15,07:56:00,17:00:00,DPS-MCP-015,SITE_VISIT,0.0,ON_TIME
ATT-1152,EMP-BLT-003,2026-09-15,07:55:00,17:00:00,DPS-TWR-007,SITE_VISIT,0.0,ON_TIME
ATT-1153,EMP-BLT-004,2026-09-15,07:48:00,17:00:00,JKS-MCP-012,SITE_VISIT,0.0,ON_TIME
ATT-1154,EMP-BLT-005,2026-09-15,07:52:00,17:00:00,JKP-TWR-003,SITE_VISIT,0.0,ON_TIME
ATT-1155,EMP-BLT-006,2026-09-15,08:18:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1156,EMP-BLT-007,2026-09-15,08:50:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1157,EMP-BLT-008,2026-09-15,08:30:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1158,EMP-BLT-009,2026-09-15,08:22:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1159,EMP-BLT-010,2026-09-15,08:44:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1160,EMP-BLT-011,2026-09-15,07:53:00,17:00:00,JKP-TWR-003,SITE_VISIT,0.0,ON_TIME
ATT-1161,EMP-BLT-012,2026-09-15,07:56:00,19:30:00,SBY-TWR-010,SITE_VISIT,2.5,OVERTIME_VERIFIED
ATT-1162,EMP-BLT-001,2026-09-16,07:53:00,17:00:00,DPS-MCP-015,SITE_VISIT,0.0,ON_TIME
ATT-1163,EMP-BLT-002,2026-09-16,07:52:00,17:00:00,BDG-TWR-008,SITE_VISIT,0.0,ON_TIME
ATT-1164,EMP-BLT-003,2026-09-16,07:49:00,17:00:00,BDG-TWR-008,SITE_VISIT,0.0,ON_TIME
ATT-1165,EMP-BLT-004,2026-09-16,07:48:00,17:00:00,JKP-TWR-013,SITE_VISIT,0.0,ON_TIME
ATT-1166,EMP-BLT-005,2026-09-16,07:50:00,18:30:00,JKT-TWR-005,SITE_VISIT,1.5,OVERTIME_VERIFIED
ATT-1167,EMP-BLT-006,2026-09-16,08:35:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1168,EMP-BLT-007,2026-09-16,08:49:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1169,EMP-BLT-008,2026-09-16,08:20:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1170,EMP-BLT-009,2026-09-16,08:23:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1171,EMP-BLT-010,2026-09-16,08:24:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1172,EMP-BLT-011,2026-09-16,07:46:00,17:00:00,JKB-MCP-004,SITE_VISIT,0.0,ON_TIME
ATT-1173,EMP-BLT-012,2026-09-16,07:45:00,20:00:00,DPS-TWR-007,SITE_VISIT,3.0,OVERTIME_VERIFIED
ATT-1174,EMP-BLT-001,2026-09-17,07:57:00,17:00:00,JKB-MCP-004,SITE_VISIT,0.0,ON_TIME
ATT-1175,EMP-BLT-002,2026-09-17,08:27:00,17:00:00,SBY-TWR-010,SITE_VISIT,0.0,LATE
ATT-1176,EMP-BLT-003,2026-09-17,07:51:00,18:30:00,BDG-TWR-008,SITE_VISIT,1.5,OVERTIME_VERIFIED
ATT-1177,EMP-BLT-004,2026-09-17,07:53:00,17:00:00,TGR-TWR-014,SITE_VISIT,0.0,ON_TIME
ATT-1178,EMP-BLT-005,2026-09-17,07:59:00,17:00:00,JKS-MCP-012,SITE_VISIT,0.0,ON_TIME
ATT-1179,EMP-BLT-006,2026-09-17,08:29:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1180,EMP-BLT-007,2026-09-17,08:46:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1181,EMP-BLT-008,2026-09-17,08:29:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1182,EMP-BLT-009,2026-09-17,08:32:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1183,EMP-BLT-010,2026-09-17,08:42:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1184,EMP-BLT-011,2026-09-17,07:57:00,18:30:00,BDG-TWR-008,SITE_VISIT,1.5,OVERTIME_VERIFIED
ATT-1185,EMP-BLT-012,2026-09-17,07:59:00,17:00:00,DPS-TWR-007,SITE_VISIT,0.0,ON_TIME
ATT-1186,EMP-BLT-001,2026-09-18,07:59:00,17:00:00,JKP-TWR-003,SITE_VISIT,0.0,ON_TIME
ATT-1187,EMP-BLT-002,2026-09-18,07:46:00,17:00:00,DPS-TWR-007,SITE_VISIT,0.0,ON_TIME
ATT-1188,EMP-BLT-003,2026-09-18,07:49:00,19:30:00,SBY-MCP-011,SITE_VISIT,2.5,OVERTIME_VERIFIED
ATT-1189,EMP-BLT-004,2026-09-18,07:57:00,19:30:00,DPS-TWR-007,SITE_VISIT,2.5,OVERTIME_VERIFIED
ATT-1190,EMP-BLT-005,2026-09-18,07:46:00,19:30:00,DPS-MCP-015,SITE_VISIT,2.5,OVERTIME_VERIFIED
ATT-1191,EMP-BLT-006,2026-09-18,08:45:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1192,EMP-BLT-007,2026-09-18,08:16:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1193,EMP-BLT-008,2026-09-18,08:49:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1194,EMP-BLT-009,2026-09-18,08:18:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1195,EMP-BLT-010,2026-09-18,08:37:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1196,EMP-BLT-011,2026-09-18,07:55:00,17:00:00,JKB-MCP-004,SITE_VISIT,0.0,ON_TIME
ATT-1197,EMP-BLT-012,2026-09-18,07:48:00,17:00:00,JKS-MCP-001,SITE_VISIT,0.0,ON_TIME
ATT-1198,EMP-BLT-001,2026-09-20,09:12:00,15:45:00,JKB-MCP-004,EMERGENCY_REPAIR,6.0,OVERTIME_VERIFIED
ATT-1199,EMP-BLT-005,2026-09-20,09:12:00,15:45:00,JKS-MCP-002,EMERGENCY_REPAIR,4.5,OVERTIME_VERIFIED
ATT-1200,EMP-BLT-001,2026-09-21,07:54:00,18:30:00,JKS-MCP-012,SITE_VISIT,1.5,OVERTIME_VERIFIED
ATT-1201,EMP-BLT-002,2026-09-21,07:47:00,17:00:00,JKS-MCP-012,SITE_VISIT,0.0,ON_TIME
ATT-1202,EMP-BLT-003,2026-09-21,07:54:00,17:00:00,JKT-TWR-005,SITE_VISIT,0.0,ON_TIME
ATT-1203,EMP-BLT-004,2026-09-21,07:56:00,17:00:00,SBY-MCP-011,SITE_VISIT,0.0,ON_TIME
ATT-1204,EMP-BLT-005,2026-09-21,07:57:00,17:00:00,JKB-MCP-004,SITE_VISIT,0.0,ON_TIME
ATT-1205,EMP-BLT-006,2026-09-21,08:34:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1206,EMP-BLT-007,2026-09-21,08:53:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1207,EMP-BLT-008,2026-09-21,08:22:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1208,EMP-BLT-009,2026-09-21,08:51:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1209,EMP-BLT-010,2026-09-21,08:17:00,17:05:00,,OFFICE_REGULAR,0.0,ON_TIME
ATT-1210,EMP-BLT-011,2026-09-21,07:46:00,17:00:00,DPS-MCP-006,SITE_VISIT,0.0,ON_TIME
ATT-1211,EMP-BLT-012,2026-09-21,08:28:00,17:00:00,BDG-MCP-009,SITE_VISIT,0.0,LATE
